A;T;S;R;H;F;Q;P;D;L;X;W;C;V
7;170;0.45;20.7;0.045;45;6;3;1.001;8.8;1.00;0.20;0.36;0.27
6.3;132;0.49;1.6;0.049;14;6;3.3;0.994;9.5;0.17;0.71;0.34;0.3
8.1;97;0.44;6.9;0.05;30;6;3.26;0.9951;10.1;0.13;0.93;0.4;0.28
7.2;186;0.4;8.5;0.058;47;6;3.19;0.9956;9.9;0.14;0.30;0.32;0.23
7.2;186;0.4;8.5;0.058;47;6;3.19;0.9956;9.9;0.17;0.66;0.32;0.23
8.1;97;0.44;6.9;0.05;30;6;3.26;0.9951;10.1;0.13;0.56;0.4;0.28
6.2;136;0.47;7;0.045;30;6;3.18;0.9949;9.6;0.20;0.98;0.16;0.32
7;170;0.45;20.7;0.045;45;6;3;1.001;8.8;0.25;0.55;0.36;0.27
6.3;132;0.49;1.6;0.049;14;6;3.3;0.994;9.5;0.10;0.29;0.34;0.3
8.1;129;0.45;1.5;0.044;28;6;3.22;0.9938;11;0.20;0.40;0.43;0.22
8.1;63;0.56;1.45;0.033;11;5;2.99;0.9908;12;0.10;0.85;0.41;0.27
8.6;109;0.53;4.2;0.035;17;5;3.14;0.9947;9.7;0.33;0.74;0.4;0.23
7.9;75;0.63;1.2;0.04;16;5;3.18;0.992;10.8;0.13;0.04;0.37;0.18
6.6;143;0.52;1.5;0.044;48;7;3.54;0.9912;12.4;1.00;0.51;0.4;0.16
8.3;172;0.67;19.25;0.04;41;5;2.98;1.0002;9.7;0.17;0.83;0.62;0.42
6.6;112;0.55;1.5;0.032;28;7;3.25;0.9914;11.4;0.25;0.39;0.38;0.17
6.3;99;0.36;1.1;0.046;30;6;3.24;0.9928;9.6;0.14;0.08;0.04;0.48
6.2;75;0.39;1.2;0.029;29;8;3.33;0.9892;12.8;0.20;0.58;0.48;0.66
7.4;171;0.53;1.1;0.033;17;6;3.12;0.9917;11.3;0.50;0.84;0.42;0.34
6.5;133;0.5;7.5;0.044;34;5;3.22;0.9955;9.5;1.00;0.31;0.14;0.31
6.2;75;0.39;1.2;0.029;29;8;3.33;0.9892;12.8;0.17;0.70;0.48;0.66
6.4;102;0.35;2.9;0.038;19;7;3.17;0.9912;11;0.10;0.51;0.38;0.31
6.8;122;0.48;1.7;0.049;41;8;3.47;0.993;10.5;0.17;0.37;0.42;0.26
7.6;168;0.51;1.5;0.074;25;5;3.05;0.9937;9.3;0.33;0.87;0.14;0.67
6.6;142;0.47;1.3;0.052;16;6;3.42;0.9951;10;0.50;0.62;0.41;0.27
7;245;0.5;9;0.046;56;6;3.25;0.9955;10.4;0.25;0.24;0.32;0.25
6.9;146;0.44;1;0.052;35;6;3.45;0.993;10;0.33;0.88;0.35;0.24
7;141;0.53;8.7;0.051;32;6;3.38;0.9961;10.5;0.13;0.20;0.39;0.28
7.4;132;0.49;1.1;0.047;17;6;3.19;0.9914;11.6;0.17;0.30;0.48;0.27
7.2;114;0.71;2;0.033;37;7;3.1;0.9906;12.3;0.25;0.39;0.36;0.32
8.5;142;0.53;10.4;0.044;20;6;3.2;0.9974;10;0.14;0.55;0.39;0.24
8.3;47;0.4;1.1;0.042;7;6;3.47;0.9934;10.2;0.10;0.77;0.34;0.14
7.4;100;0.44;2.05;0.05;31;6;3.19;0.992;10.8;0.50;0.26;0.36;0.25
6.2;117;0.51;1.5;0.045;43;6;3.42;0.9939;9;0.25;0.37;0.34;0.12
5.8;179;0.37;14.95;0.044;22;5;3.37;0.9962;10.2;0.33;0.34;0.2;0.27
7.3;123;0.42;1.7;0.08;21;5;3.19;0.9905;12.8;0.25;0.43;0.43;0.28
6.5;149;0.35;5.4;0.051;25;5;3.24;0.9934;10;0.14;0.16;0.23;0.39
7;138;0.28;1.2;0.053;38;6;3.13;0.9906;11.2;0.17;0.12;0.32;0.33
7.3;149;0.36;17.95;0.057;45;5;3.21;0.9999;8.6;0.25;0.11;0.39;0.24
7.3;149;0.36;17.95;0.057;45;5;3.21;0.9999;8.6;0.11;0.65;0.39;0.24
6.7;158;0.36;2.5;0.172;63;6;3.11;0.9937;9.4;0.50;0.83;0.39;0.23
6.7;157;0.34;2.9;0.173;63;6;3.1;0.9937;9.4;0.20;0.95;0.39;0.24
7;160;0.46;7.4;0.069;28;6;3.13;0.9954;9.8;0.17;0.50;0.26;0.31
6.6;152;0.56;1.4;0.057;33;6;3.22;0.9934;9.5;0.17;0.57;0.27;0.24
6.7;154;0.56;1.4;0.06;33;6;3.24;0.9934;9.5;0.13;0.90;0.26;0.23
7.4;167;0.53;1.4;0.058;38;7;3.16;0.9931;10;0.11;0.72;0.31;0.18
6.2;206;0.52;4.4;0.063;63;4;3.27;0.994;9.8;0.13;0.86;0.26;0.45
6.2;207;0.52;4.4;0.066;62;5;3.25;0.9939;9.8;0.20;0.04;0.25;0.46
7;160;0.46;7.4;0.069;28;6;3.13;0.9954;9.8;0.25;0.17;0.26;0.31
6.9;150;0.48;5;0.067;32;5;3.36;0.995;9.8;0.14;0.78;0.35;0.19
7.2;173;0.44;1.6;0.062;31;6;3.35;0.9917;11.7;0.20;0.65;0.31;0.19
6.6;124;0.58;1.1;0.068;39;7;3.34;0.9914;11;0.20;0.74;0.29;0.25
6.2;82;0.46;1.1;0.057;21;7;3.32;0.991;10.9;1.00;0.32;0.33;0.16
6.4;108;0.35;1;0.045;39;6;3.31;0.9911;10.9;0.10;0.81;0.35;0.18
6.8;132;0.38;0.9;0.147;38;6;3.05;0.993;9.1;0.10;0.19;0.59;0.2
6.9;191;0.52;1.3;0.039;29;6;3.13;0.9908;11;1.00;0.49;0.35;0.25
7.2;213;0.5;11.9;0.043;37;6;3.09;0.9962;9.6;0.50;0.97;0.34;0.21
6;147;0.36;12.4;0.048;50;6;3.3;0.9972;8.9;0.14;0.14;0.26;0.19
6.6;78;0.38;4.6;0.044;25;6;3.11;0.9931;10.2;0.10;0.90;0.15;0.38
7.4;111;0.34;1.2;0.038;44;6;3.36;0.9926;9.9;0.11;0.69;0.36;0.2
6.8;123;0.46;4.9;0.092;30;6;3.03;0.9951;8.6;0.10;0.59;0.24;0.22
6;147;0.36;12.4;0.048;50;6;3.3;0.9972;8.9;0.20;0.49;0.26;0.19
7;151;0.34;1.1;0.035;17;5;3.02;0.991;10.5;0.25;0.71;0.07;0.47
6.6;78;0.38;4.6;0.044;25;6;3.11;0.9931;10.2;0.20;0.81;0.15;0.38
7.2;122;0.46;1.4;0.038;31;6;3.15;0.9927;10.3;0.25;0.12;0.27;0.24
6.2;120;0.54;1.2;0.064;29;5;3.22;0.9934;9.1;0.17;0.95;0.03;0.35
6.4;124;0.49;6.4;0.04;27;7;3.22;0.9903;12.6;0.25;0.30;0.24;0.26
6.7;174;0.42;1.2;0.041;81;5;3.14;0.992;9.8;0.33;0.07;0.13;0.25
6.7;96;0.64;2.1;0.046;30;8;3.33;0.9926;10.7;0.50;0.14;0.31;0.23
7.4;105;0.35;10.1;0.05;21;5;3.13;0.9962;9.5;0.33;0.99;0.29;0.24
6.2;244;0.51;7.8;0.056;48;6;3.1;0.9956;9;0.33;0.12;0.43;0.27
6.8;238.5;0.6;4.6;0.061;50.5;5;3.32;0.9958;9.5;0.25;0.34;0.23;0.3
6;201;0.71;4.8;0.063;31;5;3.69;0.9964;10;0.20;0.30;0.28;0.27
8.6;72;0.49;1;0.054;9;6;2.95;0.9941;9.1;0.10;0.59;0.46;0.23
6.7;96;0.64;2.1;0.046;30;8;3.33;0.9926;10.7;0.50;0.17;0.31;0.23
7.4;105;0.35;10.1;0.05;21;5;3.13;0.9962;9.5;0.14;0.32;0.29;0.24
7.1;87;0.37;1.4;0.043;31;7;3.26;0.9898;12.7;0.10;0.73;0.36;0.18
7;69;0.65;1.3;0.042;20;7;3.31;0.9912;12;0.25;0.55;0.34;0.32
7.4;103;0.56;8.8;0.064;26;5;2.94;0.9961;9.3;0.13;0.40;0.3;0.18
6.7;105;0.37;5.4;0.06;21;5;3.27;0.9949;9;0.14;0.54;0.28;0.54
6.8;114;0.77;1.4;0.053;34;6;3.39;0.9929;10.6;0.33;0.62;0.31;0.22
7.1;166;0.6;16;0.05;51;6;3.21;0.9985;9.2;0.17;0.19;0.34;0.2
7.1;164;0.42;6.1;0.063;47;5;3.17;0.9946;10;0.14;0.35;0.2;0.34
7.3;207;0.46;8.2;0.047;42;6;3.33;0.9966;9.5;0.13;0.20;0.3;0.22
7.1;155;0.45;11.8;0.045;54;5;3.11;0.9974;8.7;0.13;0.45;0.61;0.43
7.1;152;0.46;11.8;0.044;52;6;3.12;0.9975;8.7;1.00;0.04;0.62;0.44
7.2;156;0.44;11;0.044;55;6;3.09;0.9974;8.7;1.00;0.30;0.63;0.39
6.8;202;0.48;13.3;0.05;69;6;3.22;0.9972;9.7;0.20;0.07;0.31;0.25
7.1;155;0.45;11.8;0.045;54;5;3.11;0.9974;8.7;0.13;0.12;0.61;0.43
7.1;152;0.46;11.8;0.044;52;6;3.12;0.9975;8.7;0.13;0.46;0.62;0.44
7.2;156;0.44;11;0.044;55;6;3.09;0.9974;8.7;0.10;0.58;0.63;0.39
6.1;243;0.47;7.5;0.049;65;5;3.12;0.9957;9;0.20;0.46;0.43;0.27
6.9;136;0.4;1.7;0.035;47;7;3.26;0.99;12.6;0.20;0.57;0.33;0.24
6.9;136;0.41;1.8;0.034;48;7;3.25;0.9899;12.6;0.33;0.31;0.33;0.21
7.5;148;0.44;1.7;0.04;51;7;3.21;0.9916;11.5;0.13;0.21;0.32;0.17
7.1;240;0.42;12.4;0.044;62;6;3.04;0.9969;9.2;0.33;0.71;0.29;0.26
6;164;0.5;15.9;0.046;26;6;3.14;0.9979;8.8;0.10;0.09;0.66;0.34
8.6;80;0.36;1.2;0.034;15;7;2.95;0.9913;11.4;0.17;0.97;0.36;0.265
9.8;83;0.3;10.5;0.038;4;4;2.89;0.9956;10.1;0.10;0.72;0.46;0.36
6;164;0.5;15.9;0.046;26;6;3.14;0.9979;8.8;1.00;0.54;0.66;0.34
7.4;192;0.44;13.5;0.06;52;5;3;0.9975;9.1;0.25;0.27;0.37;0.25
7.1;162;0.41;9.6;0.054;64;5;3.4;0.9962;9.4;0.17;0.29;0.32;0.12
6;164;0.39;12.1;0.05;55;5;3.34;0.997;9.4;0.25;0.30;0.24;0.21
7.5;170;0.46;18.9;0.059;44;5;2.99;1;9;1.00;0.83;0.4;0.305
7.4;192;0.44;13.5;0.06;52;5;3;0.9975;9.1;0.11;0.39;0.37;0.25
7.3;109;0.35;14.4;0.051;34;6;3.2;0.9974;9.2;0.33;0.19;0.32;0.13
7.1;162;0.41;9.6;0.054;64;5;3.4;0.9962;9.4;0.11;0.40;0.32;0.12
7.1;171;0.59;16.5;0.04;60;6;3.16;0.999;9.1;0.13;0.93;0.35;0.23
7.1;171;0.59;16.5;0.04;60;6;3.16;0.999;9.1;1.00;0.22;0.35;0.23
6.9;187;0.6;1.3;0.051;37;5;3.27;0.9927;10.3;0.17;0.83;0.28;0.33
6.5;163;0.39;8.5;0.082;64;6;2.89;0.9959;8.8;0.50;0.66;0.54;0.17
7.2;255;0.52;18.75;0.052;45;5;3.04;1;8.9;0.33;0.65;0.46;0.27
7.2;195;0.47;13.3;0.056;68;5;3.01;0.9982;9.2;0.10;0.67;0.5;0.31
6.7;150;0.51;9.2;0.049;29;5;3.22;0.9968;9.1;1.00;0.94;0.34;0.41
6.7;150;0.51;9.2;0.049;29;5;3.22;0.9968;9.1;0.11;0.61;0.34;0.41
5.5;103;0.4;1.5;0.065;8;4;3.63;0.994;9.7;0.17;0.24;0;0.485
